Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14_6_TEXT,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q32_10_TEXT,Q33,Q33_6_TEXT,Q34,Q35,Q35_16_TEXT,Q36,Q36_16_TEXT,Q37,Q37_16_TEXT,Q38,Q39,Q40,Q41,Q42,Q42_8_TEXT,Q43,Q44,Q45_1,Q46_1,Q47,Q48,Q48_16_TEXT,Q49_1_x,Q49_1_y,Q49_2_x,Q49_2_y,Q49_3_x,Q49_3_y,Q49_4_x,Q49_4_y,Q49_5_x,Q49_5_y,Q49_6_x,Q49_6_y,Q49_7_x,Q49_7_y,Q49_8_x,Q49_8_y,Q49_9_x,Q49_9_y,Q49_10_x,Q49_10_y,Q49,Q50,Q51,Q52,Q53,Q53_4_TEXT,Q54,Q55,Q55_6_TEXT,Q56,Q56_4_TEXT,Q57,Q57_6_TEXT
SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,Yes,Fortnightly,Wine,No,No,To get drunk,None,No,Vomitted,15+,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,I have successfully quit,AnswerDisplayOrder,None,None,None,None,None,None,Fortnightly,Yes,Yes,To enjoy yourself,None,None,I have not had sex on drugs,24,24,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,Undergraduate,Biology,First,Female,Cisgender,Heterosexual,Yes,Monthly,Spirits,Yes,Yes,"To get drunk,Because my friends do,It's fun",None,No,Hungover,1-3,Socially,Cigarettes,"Pre–rolled, regular size (Straights)",OTHER,1-2,No,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,OTHER,Social,None,I have not had sex on drugs,19,19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,No,None,None,No,None,None,None,None,None,None
21,Undergraduate,Physics,Fourth,Male,Cisgender,Gay,Yes,Every few months,"Beer,Wine,Cider",No,Yes,To relax,None,Yes,Hungover,1-3,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Yes,No,To enjoy yourself,None,None,I have not had sex on drugs,18,19,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,No,None,None,No,None,None,None,None,None,None
19,Undergraduate,Physics,First,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Spirits,Cider",Yes,Yes,"To get drunk,Because my friends do,It's fun",None,Yes,Vomitted,10-12,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,Self discovery,None,None,I have not had sex on drugs,19,25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23,Postgraduate - Research,Physics,First,Male,Cisgender,Prefer not to say,Yes,2-3 times a week,"Beer,Wine,Spirits",No,I don't know/ unsure,"I like the taste,To relax,It's fun",None,Yes,Vomitted,10-12,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Yes,No,To experience something different,None,None,I've had chem sex,17,18,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bong,No,No,None,None,No,None,None,None,None,None,None
19,Undergraduate,Chemistry,First,Male,Transgender,Bisexual,Yes,Monthly,"Wine,Spirits,Cider",Yes,I don't know/ unsure,"To get drunk,It's fun",None,Yes,Blacked out,1-3,Yes,"Cigarettes,Snus/ Nicotine pouches",Roll your own (Rollies),Benson & Hedges,1-2,Yes,None,None,None,None,More than three daily,>30mg,6 dot,Velo,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Unsure,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self–medication",None,None,I have not had sex on drugs,17,16,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Spliff (marijuana with tobacco, rolling paper),Bong",No,Yes,Gummies,None,Yes,None,None,None,None,None,None
20,Undergraduate,Mechanical Engineering,Third,Male,Cisgender,Heterosexual,Yes,Weekly,"Spirits,Cider",Yes,Yes,Because my friends do,None,Yes,Vomitted,4-6,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,"To enjoy yourself,To experience something different,Self discovery",None,None,I have not had sex on drugs,18,19,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,Yes,"Gummies,Laced into food",None,No,None,None,None,None,None,None
23,Postgraduate - Research,Physics,Second,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,I don't know/ unsure,"I like the taste,Because my friends do,To relax,It's fun",None,Yes,Vomitted,4-6,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Yes,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self discovery,Self–medication",None,None,"I've had drunk sex,I have not had sex on drugs",17,20,Other Drugs,Acid/ LSD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),THC vape (Cart, Penjamins, etc)",No,Yes,Brownies/ baked goods,None,No,Bumming off a friend,None,OTHER,None,They're local,None
19,Undergraduate,Physics,First,Male,Cisgender,SKIP,Yes,2-3 times a week,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,Yes,Hungover,7-9,Socially,Cigarettes,Roll your own (Rollies),Marlboro,1-2,No,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,To feel good,None,None,I have not had sex on drugs,17,16,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper)",No,No,None,None,No,Bumming off a friend,None,OTHER,None,OTHER,None
23,Postgraduate - Taught,Computing,First,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Cider",No,Yes,"To get drunk,Because my friends do",None,Yes,Vomitted,4-6,Socially,Cigarettes,"Pre–rolled, regular size (Straights)",Marlboro,1-2,No,None,None,None,None,None,None,None,None,None,None,None,I have successfully quit,AnswerDisplayOrder,None,None,None,None,None,None,None,None,None,None,None,None,None,16,None,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,Yes,"Brownies/ baked goods,Gummies",None,No,None,None,Can arrange quick delivery,None,Text,None
