StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14_6_TEXT,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q32_10_TEXT,Q33,Q33_6_TEXT,Q34,Q35,Q35_16_TEXT,Q36,Q36_16_TEXT,Q37,Q37_16_TEXT,Q38,Q39,Q40,Q41,Q42,Q42_8_TEXT,Q43,Q44,Q45_1,Q46_1,Q47,Q48,Q48_16_TEXT,Q49_1_x,Q49_1_y,Q49_2_x,Q49_2_y,Q49_3_x,Q49_3_y,Q49_4_x,Q49_4_y,Q49_5_x,Q49_5_y,Q49_6_x,Q49_6_y,Q49_7_x,Q49_7_y,Q49_8_x,Q49_8_y,Q49_9_x,Q49_9_y,Q49_10_x,Q49_10_y,Q49,Q50,Q51,Q52,Q53,Q53_4_TEXT,Q54,Q55,Q55_6_TEXT,Q56,Q56_4_TEXT,Q57,Q57_6_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Felix is collecting information from this survey to publish an article in print and online on broad trends across groups such as departments, year groups and genders. Anecdotes shared in the survey may be published in the article.


Please do not include information that could be used to identify third-parties, such as names or descriptions of individuals.


Names and email address are not stored, and the information collected here will not be used for any purposes beyond those outlined above. The information collected here will not be shared with any third parties.

If you have any questions, please contact felix@ic.ac.uk.


Please note that incomplete surveys will automatically be deleted after 2 weeks. Every question is mandatory, but SKIP options are available.",How old are you?,What type of student are you?,Which department are you in?,Which year of study are you in at Imperial?,What gender do you identify as?,What is your gender expression?,What is your sexual orientation,Do you drink?,How often do you drink?,What do you drink? (select all that apply),Do you drink shots?,Does your family know how much you drink?,Why do you drink? - Selected Choice,Why do you drink? - OTHER - Text,Have you ever made yourself ill from drinking,What is the most ill you've been from drinking?,"How many units, on, average, do you drink a week?",Do you consume nicotine?,What type of nicotine products do you consume?,Which type of cigarette do you smoke?,Which brand of cigarette do you smoke?,"How many cigarettes do you smoke a day, on average?",Have you told your doctor that you smoke?,What type of vape do you smoke?,Which brand of vape do you use most frequently?,What's your favourite vape flavour?,How long would it take you to finish a 600–puff vape?,"On average, how many snus do you use in a week?","How strong are your snus, on average, in terms of nicotine content (milligrams)?","What dot–strength snus do you tend to consume?

Although nicotine content per dot varies across brands, often users will pick the same strength across brands in terms of dot. Please pick which dot–strength you tend to buy regardless of brand.",What is your favourite snus brand? - Selected Choice,What is your favourite snus brand? - OTHER - Text,Why do you use nicotine products? - Selected Choice,Why do you use nicotine products? - OTHER - Text,Have you tried quitting nicotine?,Which drugs have you taken? - Selected Choice,Which drugs have you taken? - OTHER - Text,Which drugs have you taken together (crossfaded)? - Selected Choice,Which drugs have you taken together (crossfaded)? - OTHER - Text,Which drugs would you NEVER take? - Selected Choice,Which drugs would you NEVER take? - OTHER - Text,Which drug(s) would you like to take?,How frequently do you take drugs?,Does your family know you have taken drugs?,Have you ever required medical attention because of drugs you have taken?,Why do you take drugs? - Selected Choice,Why do you take drugs? - OTHER - Text,Tell us about your worst trip/ time getting high.,Sex on drugs,How old were you when you first got drunk? - 1,How old were you when you first took drugs? - 1,Which substances have you taken on campus?,Which drugs have you taken on campus? - Selected Choice,Which drugs have you taken on campus? - OTHER - Text,Where have you taken substances on campus? - 1 - X,Where have you taken substances on campus? - 1 - Y,Where have you taken substances on campus? - 2 - X,Where have you taken substances on campus? - 2 - Y,Where have you taken substances on campus? - 3 - X,Where have you taken substances on campus? - 3 - Y,Where have you taken substances on campus? - 4 - X,Where have you taken substances on campus? - 4 - Y,Where have you taken substances on campus? - 5 - X,Where have you taken substances on campus? - 5 - Y,Where have you taken substances on campus? - 6 - X,Where have you taken substances on campus? - 6 - Y,Where have you taken substances on campus? - 7 - X,Where have you taken substances on campus? - 7 - Y,Where have you taken substances on campus? - 8 - X,Where have you taken substances on campus? - 8 - Y,Where have you taken substances on campus? - 9 - X,Where have you taken substances on campus? - 9 - Y,Where have you taken substances on campus? - 10 - X,Where have you taken substances on campus? - 10 - Y,Where have you taken substances on campus? - Regions,How do you smoke your weed?,Have you ever greened out?,Have you ever tried edibles?,Which type of edibles have you tried? - Selected Choice,Which type of edibles have you tried? - OTHER - Text,Have you ever ingested spice/ synthetic cannaboids?,Where do you get your drugs from? - Selected Choice,Where do you get your drugs from? - OTHER - Text,How close are you to your dealer (location-wise)? - Selected Choice,How close are you to your dealer (location-wise)? - OTHER - Text,How do you contact your plug? - Selected Choice,How do you contact your plug? - OTHER - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID35""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_10_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_6_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_16_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID67_16_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID68_16_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_8_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_16_TEXT""}","{""ImportId"":""QID53"",""point"":1,""coord"":""x""}","{""ImportId"":""QID53"",""point"":1,""coord"":""y""}","{""ImportId"":""QID53"",""point"":2,""coord"":""x""}","{""ImportId"":""QID53"",""point"":2,""coord"":""y""}","{""ImportId"":""QID53"",""point"":3,""coord"":""x""}","{""ImportId"":""QID53"",""point"":3,""coord"":""y""}","{""ImportId"":""QID53"",""point"":4,""coord"":""x""}","{""ImportId"":""QID53"",""point"":4,""coord"":""y""}","{""ImportId"":""QID53"",""point"":5,""coord"":""x""}","{""ImportId"":""QID53"",""point"":5,""coord"":""y""}","{""ImportId"":""QID53"",""point"":6,""coord"":""x""}","{""ImportId"":""QID53"",""point"":6,""coord"":""y""}","{""ImportId"":""QID53"",""point"":7,""coord"":""x""}","{""ImportId"":""QID53"",""point"":7,""coord"":""y""}","{""ImportId"":""QID53"",""point"":8,""coord"":""x""}","{""ImportId"":""QID53"",""point"":8,""coord"":""y""}","{""ImportId"":""QID53"",""point"":9,""coord"":""x""}","{""ImportId"":""QID53"",""point"":9,""coord"":""y""}","{""ImportId"":""QID53"",""point"":10,""coord"":""x""}","{""ImportId"":""QID53"",""point"":10,""coord"":""y""}","{""ImportId"":""QID53_REGIONS""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_4_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID64""}","{""ImportId"":""QID64_6_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_4_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID66_6_TEXT""}"
2025-05-08 07:57:59,2025-05-08 07:58:08,IP Address,146.179.86.184,5,8,False,2025-05-08 09:46:50,R_8LOkJabRSyrymIC,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08 22:20:17,2025-05-08 22:21:26,Survey Preview,,100,68,True,2025-05-08 22:21:26,R_24NnztbHN3aN58l,,,,,51.5042,-0.2199,preview,EN,"By completing this survey, you consent to us using the information provided as described above.",SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,Yes,Fortnightly,Wine,No,No,To get drunk,,No,Vomitted,15+,No,,,,,,,,,,,,,,,,,I have successfully quit,AnswerDisplayOrder,,,,,,,Fortnightly,Yes,Yes,To enjoy yourself,,,I have not had sex on drugs,24,24,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-09 01:57:43,2025-05-09 02:43:08,IP Address,146.179.86.175,100,2724,True,2025-05-09 02:43:09,R_2fI1o82XvQX4bhS,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",19,Undergraduate,Biology,First,Female,Cisgender,Heterosexual,Yes,Monthly,Spirits,Yes,Yes,"To get drunk,Because my friends do,It's fun",,No,Hungover,1-3,Socially,Cigarettes,"Pre–rolled, regular size (Straights)",OTHER,1-2,No,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,No,No,OTHER,Social,,I have not had sex on drugs,19,19,,,,,,,,,,,,,,,,,,,,,,,,,"Joint (pure marijuana, rolling paper)",No,No,,,No,,,,,,
2025-05-09 04:15:05,2025-05-09 04:20:43,IP Address,146.179.86.167,100,338,True,2025-05-09 04:20:44,R_8SJOyMG2FRuJI7n,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",21,Undergraduate,Physics,Fourth,Male,Cisgender,Gay,Yes,Every few months,"Beer,Wine,Cider",No,Yes,To relax,,Yes,Hungover,1-3,No,,,,,,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,Yes,No,To enjoy yourself,,,I have not had sex on drugs,18,19,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,"Joint (pure marijuana, rolling paper)",No,No,,,No,,,,,,
2025-05-09 05:00:38,2025-05-09 05:05:23,IP Address,146.179.86.131,100,285,True,2025-05-09 05:05:23,R_2kFYf40HobjOLZ2,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",19,Undergraduate,Physics,First,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Spirits,Cider",Yes,Yes,"To get drunk,Because my friends do,It's fun",,Yes,Vomitted,10-12,No,,,,,,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,No,No,Self discovery,,,I have not had sex on drugs,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-09 06:53:12,2025-05-09 06:57:34,IP Address,146.179.86.169,100,261,True,2025-05-09 06:57:35,R_8khHeni2Mpmty2R,,,,,51.4402,-0.0259,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",23,Postgraduate - Research,Physics,First,Male,Cisgender,Prefer not to say,Yes,2-3 times a week,"Beer,Wine,Spirits",No,I don't know/ unsure,"I like the taste,To relax,It's fun",,Yes,Vomitted,10-12,No,,,,,,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,Yes,No,To experience something different,,,I've had chem sex,17,18,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,Bong,No,No,,,No,,,,,,
2025-05-09 08:22:54,2025-05-09 08:28:05,IP Address,146.179.86.149,100,310,True,2025-05-09 08:28:08,R_8qJLF1Kjjd7RVfA,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",19,Undergraduate,Chemistry,First,Male,Transgender,Bisexual,Yes,Monthly,"Wine,Spirits,Cider",Yes,I don't know/ unsure,"To get drunk,It's fun",,Yes,Blacked out,1-3,Yes,"Cigarettes,Snus/ Nicotine pouches",Roll your own (Rollies),Benson & Hedges,1-2,Yes,,,,,More than three daily,>30mg,6 dot,Velo,,,,Yes,AnswerDisplayOrder,,,,,,,On Special Occasions,Unsure,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self–medication",,,I have not had sex on drugs,17,16,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,"Spliff (marijuana with tobacco, rolling paper),Bong",No,Yes,Gummies,,Yes,,,,,,
2025-05-09 08:38:26,2025-05-09 08:47:01,IP Address,146.179.86.145,100,515,True,2025-05-09 08:47:02,R_8tllD4qkLAv0GJi,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",20,Undergraduate,Mechanical Engineering,Third,Male,Cisgender,Heterosexual,Yes,Weekly,"Spirits,Cider",Yes,Yes,Because my friends do,,Yes,Vomitted,4-6,No,,,,,,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,No,No,"To enjoy yourself,To experience something different,Self discovery",,,I have not had sex on drugs,18,19,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,"Joint (pure marijuana, rolling paper)",No,Yes,"Gummies,Laced into food",,No,,,,,,
2025-05-09 10:07:23,2025-05-09 10:16:42,IP Address,92.184.104.247,100,558,True,2025-05-09 10:16:42,R_8ykE3whiP61TpcA,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",23,Postgraduate - Research,Physics,Second,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,I don't know/ unsure,"I like the taste,Because my friends do,To relax,It's fun",,Yes,Vomitted,4-6,No,,,,,,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,Yes,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self discovery,Self–medication",,,"I've had drunk sex,I have not had sex on drugs",17,20,Other Drugs,Acid/ LSD,,,,,,,,,,,,,,,,,,,,,,,"Joint (pure marijuana, rolling paper),THC vape (Cart, Penjamins, etc)",No,Yes,Brownies/ baked goods,,No,Bumming off a friend,,OTHER,,They're local,
2025-05-09 10:58:19,2025-05-09 11:04:02,IP Address,92.40.172.68,100,343,True,2025-05-09 11:04:03,R_8EuaBjHjtFWK4zT,,,,,51.5485,-0.2501,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",19,Undergraduate,Physics,First,Male,Cisgender,SKIP,Yes,2-3 times a week,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",,Yes,Hungover,7-9,Socially,Cigarettes,Roll your own (Rollies),Marlboro,1-2,No,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,No,No,To feel good,,,I have not had sex on drugs,17,16,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper)",No,No,,,No,Bumming off a friend,,OTHER,,OTHER,
2025-05-09 11:28:15,2025-05-09 11:34:21,IP Address,146.179.86.167,100,365,True,2025-05-09 11:34:21,R_2oGOTV5PLEMa0DI,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",23,Postgraduate - Taught,Computing,First,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Cider",No,Yes,"To get drunk,Because my friends do",,Yes,Vomitted,4-6,Socially,Cigarettes,"Pre–rolled, regular size (Straights)",Marlboro,1-2,No,,,,,,,,,,,,I have successfully quit,AnswerDisplayOrder,,,,,,,,,,,,,,16,,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,"Joint (pure marijuana, rolling paper)",No,Yes,"Brownies/ baked goods,Gummies",,No,,,Can arrange quick delivery,,Text,
2025-05-09 11:38:33,2025-05-09 11:41:52,IP Address,146.179.86.130,100,198,True,2025-05-09 11:41:52,R_80GX2TB4XFRPS9f,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",20,Undergraduate,Mathematics,Second,Male,Cisgender,Heterosexual,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,All drugs I’ve taken I’ve grown,OTHER,I reply to Zendaya’s tweets with coordinates
2025-05-09 13:25:21,2025-05-09 13:34:45,IP Address,148.252.144.167,100,564,True,2025-05-09 13:34:46,R_2CBx9Crm5pqmjfc,,,,,51.4964,-0.1224,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",20,Undergraduate,Physics,Third,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,To relax,It's fun",,Yes,Blacked out,10-12,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches","Pre–rolled, regular size (Straights)",Benson & Hedges,1-2,No,Disposable,,Don’t vape I clicked the wrong button,The battery dies before I finish,More than three daily,6mg,3 dot,Zyn,,,,No,AnswerDisplayOrder,,,,,,,Weekly,No,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self discovery,Self–medication,Physical performance",,Sid was wafflin man,"I've had drunk sex,I've had chem sex",15,17,Nicotine,,,,,,,,,,,,,,,,,,,,,,,,"Joint (pure marijuana, rolling paper),Bong",No,Yes,"Brownies/ baked goods,Gummies",,Unsure,Dealer,,Can arrange quick delivery,,Text,
2025-05-10 03:20:46,2025-05-10 03:40:56,IP Address,146.179.86.166,100,1210,True,2025-05-10 03:40:56,R_8E6bUhtt4EiCdvu,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",19,Undergraduate,Biochemistry,Second,Female,Cisgender,Queer,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,I don't know/ unsure,"I like the taste,To get drunk,To relax,It's fun",,Yes,Blacked out,4-6,Yes,Cigarettes,Roll your own (Rollies),Marlboro,3-5,No,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,No,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self–medication,Exam/ academic performance",,"After almost two whole bottles of wine, I did a bunch of ket thinking it was coke. I don't remember the rest of the night but I was so incredibly unwell the next day i collapsed trying to go to the bathroom: ","I've had drunk sex,I've had chem sex",14,14,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,"Spliff (marijuana with tobacco, rolling paper)",Yes,Yes,"Brownies/ baked goods,Gummies",,No,"Friends dealer,Bumming off a friend",,OTHER,,Carrier Pigeon,
2025-05-10 08:23:07,2025-05-10 08:28:26,IP Address,146.179.86.169,100,319,True,2025-05-10 08:28:26,R_81X8UvCheEFDgqd,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",20,Undergraduate,Mathematics,Second,Male,Cisgender,Prefer not to say,Yes,2-3 times a week,"Beer,Spirits,Cider",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",,Yes,Blacked out,7-9,No,,,,,,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,On Special Occasions,No,No,"To enjoy yourself,To experience something different",,Throw up,I've had drunk sex,15,18,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bumming off a friend,,OTHER,,Carrier Pigeon,
2025-05-10 08:59:40,2025-05-10 09:03:45,IP Address,148.252.156.167,100,244,True,2025-05-10 09:03:45,R_2QROi1wANkptaE4,,,,,51.4964,-0.1224,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",20,Undergraduate,Mathematics,Second,Male,Cisgender,Bisexual,Yes,4-6 times a week,"Beer,Wine,Spirits",Yes,I don't know/ unsure,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",,Yes,Vomitted,10-12,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches","Pre–rolled, regular size (Straights)",Marlboro,3-5,Yes,Disposable,"castaldo ","baia blast ",A few days,More than three daily,>30mg,6 dot,Iceberg,,,,No,AnswerDisplayOrder,"tu si ",,,,,,On Special Occasions,No,No,Self discovery,,,"I've had drunk sex,I've had chem sex",14,16,,,,,,,,,,,,,,,,,,,,,,,,,"THC vape (Cart, Penjamins, etc)",Unsure,No,,,Unsure,Bumming off a friend,,Walking distance,,Carrier Pigeon,
2025-05-10 09:01:55,2025-05-10 09:05:44,IP Address,148.252.146.109,100,229,True,2025-05-10 09:05:45,R_83fwYhr0h67ycXA,,,,,51.4964,-0.1224,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",18,Undergraduate,Mechanical Engineering,First,Male,Cisgender,Queer,Yes,Daily,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",,I don't know/ Unsure,Hungover,15+,Yes,"Cigarettes,Snus/ Nicotine pouches","Pre–rolled, regular size (Straights)",Marlboro,1-2,Yes,,,,,More than three daily,10-15mg,4 dot,Zyn,,,,Yes,AnswerDisplayOrder,,,,,,,Weekly,Yes,No,Self discovery,,,"I've had drunk sex,I've had chem sex",14,16,Nicotine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prescription,,Walking distance,,Carrier Pigeon,
2025-05-10 09:01:28,2025-05-10 09:06:59,IP Address,146.179.86.141,100,330,True,2025-05-10 09:06:59,R_8dWI7FD1tvT1WQx,,,,,51.5005,-0.1905,qr,EN,"By completing this survey, you consent to us using the information provided as described above.",18,Undergraduate,EEE/EIE,First,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Beer,Wine,Spirits",Yes,I don't know/ unsure,"I like the taste,To get drunk",,Yes,Hungover,13-14,No,,,,,,,,,,,,,,,,,No,AnswerDisplayOrder,,,,,,,Monthly,No,No,"To relax/ unwind,Exam/ academic performance",,Just complete memory loss,I've had drunk sex,17,17,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,"THC vape (Cart, Penjamins, etc)",No,No,,,No,OTHER,Synthesize carts from legally bought substances,Walking distance,,They're local,
